store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/832739/good-green-la-kush-cake-2?recommended=false&fromMenu=true"">LA Kush Cake #2</a><br><a href=""https://www.leafly.com/search?q=LA Kush Cake #2"">Leafly</a>",<class 'filter'>,Good Green,Smalls,$85.00,7.0g,25.54%,1787.80mg,0.048/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/221748/farmaceutical-rx-chem-4?recommended=false&fromMenu=true"">Chem 4</a><br><a href=""https://www.leafly.com/search?q=Chem 4"">Leafly</a>",<class 'filter'>,FarmaceuticalRx,Flower,$55.00,3.5g,28.33%,991.55mg,0.055/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/228048/farmaceutical-rx-stardawg-guava?recommended=false&fromMenu=true"">Stardawg Guava</a><br><a href=""https://www.leafly.com/search?q=Stardawg Guava"">Leafly</a>",<class 'filter'>,FarmaceuticalRx,Flower,$55.00,3.5g,18.23%,638.05mg,0.086/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/580603/supply-sugar-plum-sunset?recommended=false&fromMenu=true"">Sugar Plum Sunset</a><br><a href=""https://www.leafly.com/search?q=Sugar Plum Sunset"">Leafly</a>",<class 'filter'>,Supply,Smalls,$90.00,7.0g,24.31%,1701.70mg,0.053/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/1173423/penn-health-group-bubba-kush?recommended=false&fromMenu=true"">Bubba Kush</a><br><a href=""https://www.leafly.com/search?q=Bubba Kush"">Leafly</a>",<class 'filter'>,Penn Health Group,Flower,$40.00,3.5g,21.99%,769.65mg,0.052/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/407214/g-leaf-grandpas-stash-jr?recommended=false&fromMenu=true"">Grandpa's Stash Jr. </a><br><a href=""https://www.leafly.com/search?q=Grandpa's Stash Jr. "">Leafly</a>",<class 'filter'>,gLeaf,Smalls,$90.00,7.0g,25.16%,1761.20mg,0.051/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/1033565/float-apple-sundae?recommended=false&fromMenu=true"">Apple Sundae</a><br><a href=""https://www.leafly.com/search?q=Apple Sundae"">Leafly</a>",<class 'filter'>,Float,Flower,$50.00,3.5g,28.55%,999.25mg,0.050/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/737082/kind-tree-slapz?recommended=false&fromMenu=true"">Slapz</a><br><a href=""https://www.leafly.com/search?q=Slapz"">Leafly</a>",<class 'filter'>,Kind Tree,Flower,$45.00,3.57g,21.70%,774.69mg,0.058/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/671928/maitri-genetics-super-silver-haze?recommended=false&fromMenu=true"">Super Silver Haze</a><br><a href=""https://www.leafly.com/search?q=Super Silver Haze"">Leafly</a>",<class 'filter'>,Maitri Genetics,Flower,$45.00,3.5g,19.08%,667.80mg,0.067/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/1119145/strane-garlic-butter?recommended=false&fromMenu=true"">Garlic Butter</a><br><a href=""https://www.leafly.com/search?q=Garlic Butter"">Leafly</a>",<class 'filter'>,Strane,,$30.00,3.5g,22.62%,791.70mg,0.038/mg
